case,prediction
137,9.99E-01
138,6.25E-03
139,9.95E-01
140,9.96E-01
141,9.91E-01
142,6.47E-01
143,1.31E-02
144,5.34E-01
145,2.11E-03
146,5.53E-04
147,1.26E-02
148,4.24E-03
149,1.03E-02
150,3.22E-02
151,8.32E-04
152,3.41E-01
153,3.51E-03
154,7.08E-03
155,1.64E-03
156,9.91E-03
157,9.94E-01
158,8.03E-01
159,2.09E-02
160,3.77E-03
161,7.72E-02
162,7.37E-03
163,3.10E-02
164,4.54E-01
165,1.65E-03
166,2.48E-03
167,5.79E-02
168,3.22E-03
169,1.20E-02
170,9.97E-01
171,5.78E-02
172,4.51E-03
173,7.03E-02
174,9.99E-01
175,2.06E-03
176,9.82E-01
177,6.90E-03
178,9.97E-01
179,6.85E-01
180,1.62E-02
181,9.66E-01
182,6.26E-02
183,2.41E-03
184,2.42E-03
185,9.00E-01
186,1.32E-03
187,6.02E-03
188,6.70E-03
189,3.62E-04
190,2.87E-01
191,9.79E-01
192,4.17E-02
193,6.05E-02
194,2.91E-03
195,7.84E-01
196,2.16E-02
197,1.94E-02
198,8.26E-01
199,9.97E-01
200,2.32E-02
201,1.47E-03
202,6.13E-02
203,2.73E-03
204,2.14E-03
205,9.98E-01
206,9.80E-01
207,1.50E-03
208,9.93E-01
209,9.90E-01
210,9.93E-01
211,3.36E-02
212,3.75E-02
213,9.94E-01
214,1.06E-03
215,3.61E-01
216,7.91E-03
217,9.63E-01
218,9.99E-01
219,9.99E-01
220,9.99E-01
221,9.87E-03
222,2.59E-02
223,7.93E-01
224,1.55E-01
225,2.39E-02
226,4.28E-02
227,7.22E-01
228,8.12E-03
229,9.99E-01
230,9.85E-01
231,4.35E-02
232,9.58E-01
233,4.98E-02
234,3.02E-02
235,4.36E-03
236,3.75E-03
237,9.92E-01
238,8.01E-01
239,9.98E-01
240,5.87E-01
241,6.51E-01
242,3.54E-03
243,1.56E-03
244,2.14E-02
245,5.15E-03
246,2.63E-02
247,4.06E-02
248,9.86E-01
249,8.51E-03
250,9.89E-01
251,5.49E-01
252,1.53E-02
253,9.24E-01
254,1.87E-03
255,6.87E-02
256,2.36E-02
257,1.34E-03
258,5.48E-03
259,3.39E-01
260,9.43E-01
261,9.87E-01
262,9.92E-01
263,5.74E-03
264,5.90E-03
265,7.06E-02
266,9.73E-01
267,3.56E-03
268,4.55E-03
269,9.95E-01
270,5.97E-01
271,1.77E-03
272,4.43E-03
273,1.30E-02
274,1.76E-03
275,5.51E-03
276,4.63E-02
277,5.41E-03
278,2.06E-03
279,3.46E-04
280,2.44E-02
281,9.99E-01
282,6.12E-01
283,2.05E-03
284,1.60E-03
285,9.98E-01
286,4.98E-03
287,1.99E-02
288,9.20E-02
289,5.34E-03
290,1.92E-02
291,9.93E-01
292,2.17E-01
293,2.00E-02
294,8.29E-01
295,3.06E-02
296,9.93E-01
297,8.41E-04
298,2.78E-02
299,6.91E-02
300,4.12E-03
301,5.39E-02
302,1.79E-01
303,7.48E-01
304,9.98E-01
305,3.92E-02
306,1.39E-02
307,9.99E-01
308,1.60E-02
309,1.12E-03
310,2.74E-02
311,8.10E-02
312,9.93E-01
313,9.85E-01
314,9.95E-01
315,2.98E-03
316,2.31E-02
317,3.25E-02
318,2.19E-03
319,9.99E-01
320,9.30E-01
321,9.42E-01
322,1.66E-02
323,3.32E-03
324,9.98E-01
325,2.65E-03
326,4.57E-03
327,3.87E-01
328,4.61E-01
329,1.43E-02
330,4.88E-03
331,9.93E-01
332,4.13E-03
333,5.19E-02
334,3.62E-03
335,1.28E-02
336,9.98E-01
337,2.02E-01
338,5.19E-01
339,9.97E-01
340,4.55E-02
341,1.04E-03
342,9.97E-01
343,8.54E-02
344,9.98E-01
345,2.80E-03
346,5.53E-03
347,3.31E-03
348,3.32E-02
349,8.29E-01
350,1.54E-03
351,3.02E-02
352,8.01E-01
353,8.91E-01
354,9.53E-01
355,4.55E-03
356,9.99E-01
357,1.31E-01
358,2.02E-02
359,1.94E-03
360,6.26E-03
361,4.11E-01
362,7.68E-02
363,9.99E-01
364,9.91E-01
365,5.12E-03
366,3.73E-01
367,5.98E-02
368,3.99E-03
369,2.32E-01
370,9.89E-01
371,2.94E-03
372,3.42E-01
373,9.99E-01
374,1.00E+00
375,6.10E-03
376,1.29E-02
377,9.98E-01
378,7.78E-03
379,9.96E-01
380,2.07E-03
381,6.36E-03
382,9.82E-01
383,1.87E-01
384,1.29E-01
385,9.98E-01
386,9.98E-01
387,9.96E-01
388,9.93E-01
389,4.29E-01
390,3.42E-01
391,1.44E-02
392,9.55E-01
393,1.61E-02
394,9.99E-01
395,4.70E-03
396,2.91E-03
397,8.42E-03
398,9.96E-01
399,3.34E-01
400,9.98E-01
401,1.44E-03
402,2.37E-02
403,6.61E-01
404,8.15E-01
405,7.62E-03
406,2.55E-02
407,9.69E-01
408,1.69E-03
409,9.83E-01
410,9.93E-01
411,9.29E-01
412,4.26E-02
413,9.92E-01
414,1.18E-01
415,1.00E+00
416,4.10E-03
417,4.12E-03
418,8.40E-03
419,4.87E-03
420,5.90E-01
421,4.53E-03
422,4.26E-03
423,9.98E-01
424,9.90E-01
425,9.95E-01
426,4.16E-02
427,8.84E-01
428,3.17E-04
429,9.78E-01
430,8.06E-01
431,9.99E-01
432,1.17E-02
433,4.68E-03
434,9.99E-01
435,9.99E-01
436,8.29E-01
437,9.57E-01
438,9.96E-01
439,2.66E-03
440,9.98E-01
441,9.93E-01
442,9.99E-01
443,9.02E-04
444,4.57E-03
445,1.68E-01
446,2.41E-02
447,9.82E-01
448,1.91E-03
449,9.97E-01
450,8.51E-03
451,5.90E-02
452,8.53E-01
453,9.58E-01
454,9.94E-01
455,1.48E-02
456,2.93E-01
457,9.99E-01
458,9.98E-01
459,9.98E-01
460,3.48E-02
461,5.36E-03
462,9.93E-01
463,1.08E-01
464,5.48E-01
465,2.34E-02
466,8.44E-01
467,2.29E-01
468,4.55E-01
469,9.12E-01
470,3.33E-03
471,9.83E-01
472,9.50E-01
473,1.89E-02
474,5.74E-01
475,9.69E-01
476,9.99E-01
477,3.41E-03
478,1.39E-02
479,2.37E-04
480,3.07E-02
481,1.83E-03
482,9.89E-01
483,9.28E-01
484,9.98E-01
485,3.08E-02
486,9.48E-01
487,5.83E-04
488,1.39E-03
489,9.46E-01
490,9.69E-01
491,9.99E-01
492,1.09E-02
493,6.22E-03
494,9.24E-03
495,8.79E-01
496,7.36E-02
497,8.79E-02
498,6.02E-03
499,1.59E-01
500,5.05E-02
501,6.28E-04
502,9.99E-01
503,1.26E-03
504,9.85E-01
505,3.21E-03
506,9.73E-01
507,9.99E-01
508,5.72E-01
509,4.87E-03
510,1.00E+00
511,1.00E-02
512,3.34E-02
513,1.30E-02
514,8.61E-01
515,1.23E-03
516,9.99E-01
517,9.99E-01
518,4.58E-03
519,1.83E-02
520,1.62E-03
521,1.21E-03
522,1.94E-01
523,2.37E-02
524,9.99E-01
525,4.66E-02
526,9.89E-01
527,3.19E-03
528,4.59E-01
529,1.51E-02
530,1.30E-03
531,3.34E-02
532,1.69E-02
533,9.89E-01
534,2.17E-02
535,1.99E-02
536,8.85E-01
537,8.55E-01
538,9.98E-01
539,6.21E-02
540,9.96E-01
541,9.96E-01
542,6.13E-04
543,1.18E-01
544,8.97E-01
545,8.77E-01
546,7.75E-01
547,3.79E-04
548,9.99E-01
549,8.20E-01
550,7.01E-01
551,8.96E-01
552,1.18E-02
553,2.38E-01
554,2.66E-01
555,9.85E-01
556,3.40E-03
557,9.97E-01
558,9.86E-01
559,9.99E-01
560,9.28E-03
561,1.00E+00
562,1.14E-02
563,1.11E-01
564,1.99E-02
565,9.99E-01
566,8.65E-03
567,9.03E-01
568,1.72E-03
569,9.97E-01
570,2.35E-02
571,1.13E-01
572,9.35E-01
573,9.53E-02
574,1.61E-02
575,9.83E-01
576,9.99E-01
577,9.83E-01
578,1.73E-02
579,5.89E-03
580,9.89E-01
581,2.13E-03
582,1.79E-03
583,6.43E-03
584,9.77E-01
585,1.45E-02
586,1.22E-03
587,6.73E-01
588,7.83E-03
589,4.39E-03
590,7.58E-03
591,7.02E-03
592,8.58E-01
593,9.98E-01
594,4.61E-01
595,9.81E-01
596,9.91E-01
597,3.76E-03
598,8.93E-03
599,8.17E-02
600,9.81E-01
601,1.94E-02
602,9.83E-01
603,8.82E-01
604,1.53E-01
605,4.83E-03
606,1.11E-02
607,4.76E-03
608,9.95E-01
609,2.61E-03
610,9.97E-01
611,3.56E-01
612,1.39E-02
613,4.87E-03
614,2.93E-02
615,4.08E-03
616,2.28E-01
617,4.01E-01
618,9.90E-01
619,9.93E-01
620,8.11E-03
621,2.76E-02
622,7.76E-03
623,1.43E-02
624,3.22E-03
625,4.69E-04
626,9.16E-01
627,1.11E-03
628,9.99E-01
629,9.97E-01
630,9.85E-01
631,2.69E-02
632,5.31E-03
633,4.14E-03
634,9.98E-01
635,8.24E-01
636,1.47E-01
637,8.11E-02
638,9.92E-04
639,6.62E-03
640,9.88E-01
641,2.66E-02
642,1.89E-03
643,9.86E-01
644,9.92E-04
645,3.51E-03
646,1.88E-03
647,8.07E-01
648,1.07E-02
649,4.48E-02
650,4.89E-01
651,2.83E-03
652,1.85E-02
653,1.07E-02
654,1.20E-03
655,9.99E-01
656,6.20E-02
657,5.92E-01
658,1.14E-03
659,9.97E-01
660,4.79E-02
661,9.39E-01
662,3.95E-01
663,9.96E-01
664,9.98E-01
665,9.96E-01
666,1.62E-01
667,2.89E-01
668,5.80E-01
669,9.95E-01
670,9.93E-01
671,6.88E-03
672,9.93E-01
673,8.89E-03
674,3.75E-02
675,2.64E-02
676,9.98E-01
677,1.54E-01
678,1.03E-02
679,9.65E-01
680,9.93E-01
681,4.47E-01
682,3.45E-01
683,9.60E-01
684,4.63E-03
685,9.84E-01
686,2.39E-02
687,2.23E-02
688,3.32E-03
689,9.97E-01
690,2.93E-02
691,6.58E-03
692,8.08E-01
693,1.10E-02
694,9.91E-01
695,9.71E-01
696,5.83E-01
697,1.12E-01
698,2.86E-03
699,2.85E-02
700,9.38E-01
701,3.95E-03
702,6.41E-02
703,8.09E-01
704,1.31E-01
705,1.50E-02
706,3.39E-03
707,9.98E-01
708,9.93E-01
709,9.81E-01
710,3.18E-03
711,5.85E-01
712,9.89E-01
713,3.00E-01
714,1.22E-03
715,1.52E-01
716,3.47E-04
717,9.94E-01
718,2.00E-03
719,5.86E-03
720,9.84E-01
721,8.94E-01
722,4.82E-03
723,1.05E-01
724,8.34E-03
725,8.53E-01
726,4.49E-04
727,1.93E-01
728,1.46E-02
729,4.99E-03
730,9.90E-01
731,9.99E-01
732,8.64E-01
733,3.56E-03
734,9.90E-01
735,9.98E-01
736,9.99E-01
737,9.99E-01
738,3.02E-03
739,3.32E-01
740,2.27E-01
741,4.57E-01
742,1.48E-02
743,5.10E-03
744,1.26E-03
745,9.96E-01
746,9.90E-01
747,2.02E-01
748,4.01E-02
749,4.47E-03
750,5.33E-01
751,9.86E-01
752,9.96E-01
753,2.15E-01
754,9.95E-01
755,8.26E-03
756,9.99E-01
757,9.95E-01
758,1.62E-02
759,2.78E-02
760,1.06E-03
761,1.23E-03
762,5.13E-03
763,6.20E-02
764,3.77E-03
765,1.38E-01
766,9.72E-01
767,9.52E-01
768,9.20E-01
769,6.79E-03
770,9.91E-01
771,2.71E-02
772,8.33E-03
773,9.98E-01
774,3.61E-01
775,9.98E-01
776,9.05E-03
777,9.87E-01
778,9.92E-01
779,9.78E-01
780,7.72E-03
781,9.18E-01
782,6.43E-01
783,9.93E-01
784,9.70E-01
785,7.17E-03
786,1.36E-02
787,1.23E-02
788,2.11E-03
789,5.94E-02
790,1.11E-02
791,3.31E-03
792,1.27E-03
793,2.06E-03
794,2.02E-01
795,2.99E-02
796,2.80E-03
797,7.79E-02
798,2.76E-02
799,1.78E-03
800,9.86E-01
801,2.68E-03
802,9.95E-01
803,1.85E-03
804,1.22E-01
805,5.37E-01
806,1.19E-02
807,1.78E-02
808,9.71E-01
809,9.59E-01
810,9.68E-01
811,3.02E-02
812,8.35E-01
813,1.26E-02
814,4.64E-03
815,2.80E-03
816,9.34E-01
817,8.11E-04
818,2.08E-01
819,8.31E-01
820,3.03E-02
821,1.87E-01
822,2.09E-02
823,2.04E-01
824,8.10E-04
825,4.85E-03
826,1.85E-03
827,9.46E-02
828,1.91E-02
829,9.67E-04
830,2.37E-03
831,1.80E-02
832,1.00E+00
833,3.21E-02
834,3.86E-03
835,1.08E-02
836,1.39E-03
837,9.54E-01
838,9.99E-01
839,8.77E-01
840,1.27E-02
841,7.76E-01
842,9.99E-01
843,9.65E-01
844,9.95E-01
845,1.22E-02
846,9.85E-01
847,1.01E-02
848,2.36E-01
849,9.83E-01
850,9.95E-01
851,9.63E-01
852,6.10E-03
853,7.32E-01
854,1.01E-03
855,9.97E-01
856,9.61E-01
857,1.98E-02
858,9.38E-01
859,6.53E-03
860,5.82E-03
861,5.50E-01
862,2.55E-02
863,1.71E-03
864,9.80E-01
865,3.18E-02
866,2.93E-02
867,2.80E-03
868,1.44E-02
869,6.82E-03
870,9.94E-01
871,2.24E-03
872,4.80E-01
873,4.72E-03
874,9.48E-02
875,2.40E-01
876,3.43E-01
877,9.65E-01
878,2.16E-02
879,1.64E-03
880,2.53E-01
881,4.60E-01
882,7.87E-03
883,3.25E-03
884,1.87E-03
885,4.32E-03
886,6.09E-02
887,9.06E-02
888,7.02E-01
889,9.99E-01
890,6.38E-03
891,1.69E-01
892,9.48E-04
893,9.98E-01
894,3.72E-02
895,1.50E-02
896,1.69E-01
897,9.87E-01
898,2.12E-02
899,9.96E-01
900,9.92E-01
901,1.76E-03
902,7.32E-03
903,5.08E-02
904,1.70E-03
905,9.92E-01
906,5.94E-01
907,4.18E-01
908,8.47E-02
909,6.84E-02
910,8.91E-01
911,9.86E-01
912,9.93E-01
913,4.63E-03
914,9.98E-01
915,9.72E-01
916,5.39E-03
917,9.98E-01
918,9.97E-01
919,6.60E-01
920,9.98E-01
921,4.23E-03
922,9.88E-01
923,3.11E-02
924,9.31E-01
925,9.94E-03
926,5.97E-01
927,3.24E-01
928,9.96E-01
929,9.65E-01
930,2.64E-02
931,1.03E-03
932,9.37E-01
933,1.84E-01
934,9.59E-01
935,9.94E-01
936,1.61E-03
937,9.77E-04
938,6.28E-03
939,6.89E-02
940,8.55E-01
941,1.75E-02
942,9.87E-01
943,1.31E-02
944,1.50E-02
945,9.31E-01
946,2.63E-01
947,4.36E-02
948,1.06E-01
949,9.60E-01
950,3.43E-01
951,9.40E-01
952,3.92E-02
953,7.08E-03
954,3.44E-03
955,9.99E-01
956,9.41E-02
957,3.41E-03
958,7.17E-03
959,9.20E-01
960,8.61E-01
961,3.05E-03
962,2.88E-03
963,9.98E-01
964,1.96E-02
965,9.84E-01
966,9.88E-01
967,9.97E-01
968,2.41E-02
969,9.27E-04
970,9.96E-01
971,2.22E-01
972,9.99E-01
973,9.94E-01
974,8.86E-01
975,6.59E-03
976,4.81E-03
977,9.97E-01
978,9.88E-01
979,1.24E-02
980,9.64E-01
981,6.04E-03
982,4.28E-03
983,7.10E-01
984,2.99E-02
985,4.39E-02
986,9.89E-01
987,5.65E-01
988,3.43E-03
989,3.82E-03
990,9.93E-01
991,1.47E-01
992,1.00E-02
993,9.71E-01
994,2.10E-02
995,9.95E-01
996,3.95E-03
997,9.98E-01
998,7.30E-02
999,3.07E-03
1000,5.92E-01
1001,3.57E-02
1002,6.90E-03
1003,1.54E-02
1004,1.00E-02
1005,6.47E-03
1006,1.21E-01
1007,1.19E-01
1008,1.24E-02
1009,3.71E-02
1010,9.72E-01
1011,3.59E-03
1012,9.96E-01
1013,6.54E-04
1014,2.87E-03
1015,9.99E-01
1016,1.76E-01
1017,1.54E-03
1018,1.33E-02
1019,5.53E-03
1020,9.92E-01
1021,1.62E-02
1022,9.78E-01
1023,7.59E-01
1024,5.41E-01
1025,3.21E-03
1026,1.04E-01
1027,2.99E-02
1028,5.36E-04
1029,9.98E-01
1030,2.98E-02
1031,4.96E-03
1032,2.76E-03
1033,7.10E-03
1034,2.00E-03
1035,1.95E-02
1036,2.20E-03
1037,9.90E-01
1038,1.91E-01
1039,9.97E-01
1040,1.15E-01
1041,6.79E-03
1042,2.01E-02
1043,9.97E-01
1044,3.11E-03
1045,9.99E-01
1046,1.34E-02
1047,9.99E-01
1048,9.78E-01
1049,9.95E-01
1050,9.93E-01
1051,9.99E-01
1052,9.71E-01
1053,1.34E-02
1054,8.83E-01
1055,7.06E-02
1056,3.66E-04
1057,5.81E-04
1058,2.24E-02
1059,8.53E-01
1060,7.87E-02
1061,2.54E-03
1062,9.98E-01
1063,1.79E-02
1064,5.37E-04
1065,5.12E-02
1066,1.01E-03
1067,9.83E-01
1068,3.07E-01
1069,9.99E-01
1070,3.07E-01
1071,6.57E-01
1072,3.74E-02
1073,3.55E-01
1074,3.39E-02
1075,8.66E-02
1076,8.32E-03
1077,9.89E-01
1078,9.87E-01
1079,2.62E-02
1080,5.75E-01
1081,9.67E-01
1082,3.66E-02
1083,1.99E-03
1084,2.40E-03
1085,9.98E-01
1086,1.92E-02
1087,9.99E-01
1088,6.95E-03
1089,2.80E-02
1090,9.83E-01
1091,6.28E-02
1092,9.94E-01
1093,2.53E-03
1094,1.15E-02
1095,3.76E-01
1096,4.08E-02
1097,1.59E-03
1098,7.40E-01
1099,2.91E-02
1100,1.28E-02
1101,9.99E-01
1102,1.89E-01
1103,8.87E-01
1104,3.01E-03
1105,6.79E-03
1106,5.37E-03
1107,1.37E-03
1108,5.73E-03
1109,9.12E-01
1110,3.03E-02
1111,2.13E-03
1112,9.94E-01
1113,9.92E-01
1114,2.04E-01
1115,1.22E-03
1116,5.94E-01
1117,4.47E-03
1118,9.89E-01
1119,9.98E-01
1120,1.26E-01
1121,8.39E-04
1122,1.90E-01
1123,2.93E-02
1124,9.96E-01
1125,8.27E-03
1126,9.89E-01
1127,9.58E-01
1128,8.10E-02
1129,9.99E-01
1130,9.96E-01
1131,9.97E-01
1132,1.51E-02
1133,9.94E-01
1134,9.80E-01
1135,9.66E-01
1136,1.11E-02
1137,5.41E-03
1138,9.98E-01
1139,4.92E-01
1140,9.22E-01
1141,6.28E-02
1142,9.98E-01
1143,9.97E-01
1144,6.69E-03
1145,9.92E-01
1146,2.77E-01
1147,9.86E-01
1148,9.90E-01
1149,2.30E-02
1150,9.96E-01
1151,1.57E-02
1152,8.47E-01
1153,1.94E-01
1154,6.20E-03
1155,1.26E-03
1156,9.99E-01
1157,9.78E-01
1158,9.83E-01
1159,2.13E-02
1160,2.55E-03
1161,7.46E-03
1162,1.01E-01
1163,9.93E-01
1164,9.96E-01
1165,1.74E-01
1166,9.28E-01
1167,9.98E-01
1168,1.90E-01
1169,2.88E-01
1170,9.94E-01
1171,9.96E-01
1172,8.47E-01
1173,6.44E-01
1174,8.48E-01
1175,1.02E-02
1176,1.60E-01
1177,8.63E-02
1178,9.93E-01
1179,3.84E-03
1180,9.86E-01
1181,9.99E-01
1182,9.99E-01
1183,2.97E-02
1184,6.60E-01
1185,1.25E-02
1186,2.22E-02
1187,1.34E-01
1188,5.62E-02
1189,9.67E-01
1190,9.67E-01
1191,9.47E-01
1192,5.33E-03
1193,4.84E-03
1194,3.33E-03
1195,2.27E-02
1196,9.31E-01
1197,6.07E-03
1198,9.89E-01
1199,6.46E-02
1200,7.75E-01
1201,9.89E-01
1202,9.76E-01
1203,9.92E-01
1204,9.98E-01
1205,3.11E-01
1206,1.54E-02
1207,9.89E-01
1208,9.80E-01
1209,9.35E-03
1210,9.98E-01
1211,9.96E-01
1212,8.37E-01
1213,8.71E-01
1214,3.40E-03
1215,1.03E-01
1216,1.66E-01
1217,3.83E-04
1218,1.74E-02
1219,1.20E-03
1220,3.69E-03
1221,8.51E-02
1222,1.52E-03
1223,1.39E-02
1224,6.73E-01
1225,1.77E-01
1226,1.22E-01
1227,6.64E-02
1228,8.46E-04
1229,4.33E-01
1230,8.21E-03
1231,1.00E-02
1232,3.98E-03
1233,5.44E-03
1234,1.74E-02
1235,3.20E-03
1236,2.09E-03
1237,9.64E-01
1238,9.90E-01
1239,9.98E-01
1240,9.33E-01
1241,1.57E-01
1242,9.97E-01
1243,9.68E-01
1244,9.99E-01
1245,4.76E-03
1246,9.94E-01
1247,3.62E-02
1248,1.74E-02
1249,1.18E-02
1250,6.45E-03
1251,9.52E-01
1252,5.74E-04
1253,9.94E-01
1254,3.35E-02
1255,5.67E-03
1256,7.23E-04
1257,6.17E-01
1258,9.69E-01
1259,6.51E-02
1260,8.40E-01
1261,1.18E-02
1262,2.30E-03
1263,3.91E-01
1264,9.91E-01
1265,2.69E-03
1266,1.52E-02
1267,7.14E-03
1268,2.87E-03
1269,1.67E-02
1270,6.66E-03
1271,1.77E-02
1272,7.59E-03
1273,9.35E-03
1274,1.80E-01
1275,4.42E-02
1276,7.51E-03
1277,5.68E-02
1278,3.25E-03
1279,1.50E-03
1280,8.59E-03
1281,8.46E-01
1282,5.29E-03
1283,7.53E-04
1284,5.07E-03
1285,1.89E-03
1286,1.28E-02
1287,1.10E-03
1288,2.74E-02
1289,3.86E-02
1290,1.15E-02
1291,8.50E-03
1292,8.99E-04
1293,6.48E-03
1294,1.65E-02
1295,6.38E-02
1296,8.35E-03
1297,1.53E-03
1298,3.00E-03
1299,7.76E-04
1300,3.69E-01
1301,1.33E-02
1302,1.27E-02
1303,7.70E-02
1304,1.89E-03
1305,1.45E-02
1306,7.22E-01
1307,2.96E-03
1308,1.42E-03
1309,2.12E-02
1310,1.78E-02
1311,1.27E-02
1312,3.35E-03
1313,9.93E-01
1314,6.13E-02
1315,2.99E-03
1316,8.98E-03
1317,1.29E-02
1318,2.01E-02
1319,8.57E-01
1320,5.04E-03
1321,6.75E-01
1322,8.87E-03
1323,1.45E-02
1324,7.60E-01
1325,3.08E-03
1326,2.51E-03
1327,7.87E-01
1328,7.39E-01
1329,1.67E-02
1330,9.93E-02
1331,2.46E-03
1332,6.17E-04
1333,9.88E-01
1334,4.43E-03
1335,9.97E-01
1336,5.46E-01
1337,4.97E-03
1338,4.10E-02
1339,4.02E-03
1340,1.61E-03
1341,7.79E-03
1342,8.97E-03
1343,9.99E-01
1344,8.26E-02
1345,2.24E-02
1346,3.73E-03
1347,4.28E-03
1348,9.92E-01
1349,4.51E-02
1350,1.99E-02
1351,1.08E-02
1352,9.29E-03
1353,1.77E-03
1354,7.14E-03
1355,8.13E-01
1356,1.25E-02
1357,5.08E-03
1358,1.22E-03
1359,2.24E-03
1360,9.24E-04
1361,3.04E-02
1362,1.28E-03
1363,3.59E-02
1364,5.71E-03
1365,1.26E-01
1366,9.96E-04
1367,2.73E-03
1368,5.61E-03
1369,5.24E-03
1370,3.00E-02
1371,5.38E-02
1372,6.08E-04
1373,1.39E-02
1374,9.93E-01
1375,4.84E-03
1376,6.72E-02
1377,4.74E-02
1378,8.08E-01
1379,2.27E-01
1380,9.42E-03
1381,3.32E-01
1382,6.16E-03
1383,8.52E-03
1384,9.97E-01
1385,4.39E-03
1386,1.85E-03
1387,9.89E-01
1388,9.69E-01
1389,9.91E-01
1390,9.63E-01
1391,9.94E-01
1392,6.64E-01
1393,2.42E-02
1394,1.55E-03
1395,8.25E-01
1396,2.07E-03
1397,4.90E-03
1398,9.96E-01
1399,2.09E-01
1400,8.05E-03
1401,1.81E-02
1402,3.15E-02
1403,9.73E-01
1404,1.91E-01
1405,9.60E-01
1406,1.46E-03
1407,1.53E-02
1408,2.61E-03
1409,5.17E-02
1410,1.01E-02
1411,9.59E-01
1412,4.94E-03
1413,1.17E-01
1414,3.76E-02
1415,7.83E-01
1416,9.13E-01
1417,9.96E-01
1418,5.46E-03
1419,9.85E-01
1420,8.08E-04
1421,6.03E-03
1422,9.55E-01
1423,9.14E-01
1424,9.51E-01
1425,3.51E-03
1426,1.99E-03
1427,9.95E-01
1428,1.21E-01
1429,2.47E-01
1430,9.65E-03
1431,9.96E-01
1432,1.56E-02
1433,7.24E-03
1434,1.73E-03
1435,2.03E-01
1436,8.48E-04
1437,6.41E-02
1438,4.62E-02
1439,7.12E-01
1440,9.98E-01
1441,9.88E-01
1442,9.99E-01
1443,2.29E-03
1444,1.65E-02
1445,9.95E-01
1446,9.46E-01
1447,1.52E-01
1448,3.51E-02
1449,1.32E-03
1450,9.87E-01
1451,3.10E-01
1452,1.48E-02
1453,1.28E-02
1454,9.98E-01
1455,2.37E-02
1456,8.18E-01
1457,9.98E-01
1458,9.53E-01
1459,8.45E-01
1460,7.71E-01
1461,2.48E-02
1462,9.83E-01
1463,9.98E-01
1464,1.57E-03
1465,8.68E-03
1466,2.46E-01
1467,4.90E-01
1468,9.95E-01
1469,9.72E-01
1470,7.00E-01
1471,9.98E-01
1472,6.72E-01
1473,9.37E-01
1474,8.09E-01
1475,9.99E-01
1476,2.49E-03
1477,9.21E-01
1478,9.98E-01
1479,3.74E-01
1480,1.14E-01
1481,9.98E-01
1482,2.13E-03
1483,4.89E-01
1484,9.99E-01
1485,3.25E-03
1486,1.53E-03
1487,8.97E-01
1488,8.55E-01
1489,9.98E-01
1490,1.04E-01
1491,1.62E-03
1492,9.74E-01
1493,1.54E-01
1494,9.85E-01
1495,8.82E-02
1496,9.99E-01
1497,6.31E-04
